Author,Date,Rating,Helpful count,Review,Picture included,Language,(view source)
きーちゃん,2022-08-06 22:59:51,5,6," This Miroku Bodhisattva is Japan's first national treasure.

When I was a child, there was a side profile picture displayed in the nursery school, and I saw it every day.
I personally feel very close to him.

I've seen Miroku-san elsewhere, but he's more jingly jeweled,
This is the exact opposite, as simple as drawn with lines.
Anyway, it's beautiful, so it's worth going out of your way to see it.

It is recommended to go together with Fukuda Art Museum in Arashiyama.

",yes,Japanese,view review
Takaaki Sakata,2022-08-09 07:54:50,5,1," Kofuku-ji Temple is famous for its Miroku Bodhisattva statue.
I am attracted by the charm of the statue...
All Buddha statues other than Maitreya Bodhisattva are masterpieces
It's not flashy, but I think it's an impressive exhibition

",yes,Japanese,view review
ぶぅ,2022-09-12 16:08:17,5,5," I visited Japan's first National Treasure, Miroku Bodhisattva statue. Parking is available within the precincts. If you pay the entrance fee, the parking fee will be free.

I visited at 16:00 on Sunday, but the parking lot was empty and the Reihoden was almost completely reserved. I was able to see it slowly. It was until 17:00, but I fully enjoyed it.

The grounds were lush green and well maintained. Especially the moss in front of Reihoden is the best! Everything was great.

I'm doing some renovation work, so I'd like to visit you again when it's finished.

I went to see Miroku Bosatsu, the first national treasure of Japan.The parking lot is in the precincts.If you pay the admission fee, the parking fee will be free.
I visited at 16 o'clock on Sunday, but the parking lot was vacant and Reihoden was almost reserved.I could take my time to look around.It was until 17 o'clock, but I enjoyed it enough.
The precincts were lush with greenery and well maintained.Especially the moss in front of Reihoden is the best! Everything was great.
Part of it is being renovated, so I would like to visit again when it is finished.

",yes,Japanese,view review
のりあき,2022-09-17 12:12:36,4,6," It was the first time in about 32 years since I visited on a school trip when I was a junior high school student. At that time, I was able to visit the shrine with a fresh feeling because I had no memories of the inside from the train. The thing that impressed me the most was Reihoden. Photography is prohibited in the facility, but there was a chair in front of the precious Buddha statue, so I was able to appreciate it to my heart's content. There is a valuable Buddha statue on display, so I would like you to visit it.

",yes,Japanese,view review
Kazz Uchida,2022-09-19 12:52:18,5,0," Koryu-ji Temple is famous for Japan's first National Treasure Maitreya Bodhisattva statue. There are many national treasures and important cultural properties. I enjoyed Maitreya Bodhisattva for the first time in a long time, but now it's not a candle, but an illumination. I was a little surprised, but it's still a must-see.

",yes,Japanese,view review
つるりん,2022-10-11 14:07:32,5,2," Koryu-ji Temple

Shingon sect independent temple🛕
The principal object of worship is Prince Shotoku✨
A temple of the Hata clan, a clan of immigrants.
The oldest temple in Kyoto🤲

Numerous national treasures, including the national treasure Miroku Bodhisattva statue
It is enshrined.
Many important cultural properties are enshrined here.

Kyoto's oldest temple, which is also historically important
Please come by 🙇

",yes,Japanese,view review
小柳富美子,2022-10-26 09:10:03,4,0," It is said that Prince Shotoku is enshrined. It was a solemn building like Toji Temple.Is the autumn leaves still early?

",yes,Japanese,view review
Teddy’s TED,2022-11-21 00:32:17,4,0," Even in Kyoto city, it is far from tourist spots such as Arashiyama, so I was able to see it slowly even in the fall foliage season. As other people have written, the Buddhist statues housed in the Reihoden have an overwhelming presence and a sense of the weight of history. The interior is kept dimly lit to prevent deterioration, creating a solemn atmosphere that strongly conveys the religious beliefs of the people from ancient times.

",no,Japanese,view review
sany,2022-11-23 05:11:53,5,0," I love the Maitreya Bodhisattva at Koryu-ji Temple, so when I come to Kyoto, I often come to visit her.
After that, I often go to Arashiyama.

",yes,Japanese,view review
Maki Tojo,2022-12-14 12:26:21,5,0," Visited several times to meet the statue of Hanka Shii.
I want to be a person who can spend time with that kind of expression.

",yes,Japanese,view review
snow firefry,2023-01-06 22:35:11,5,0," what do you want to see I wanted to see the wooden Maitreya Bodhisattva, so I went to the majestic Treasure Hall, one of the tourist items on my trip to Kyoto. The seated statue of Maitreya Bodhisattva was enshrined in the center, and I stared at it quietly. It was crowded for an hour.

",no,Japanese,view review
奥田好秀,2023-01-07 06:31:20,4,0," Built by Prince Shotoku, it is the oldest temple in Yamashiro and enshrines Buddha statues from the Tenpyo, Konin, Jogan, Fujiwara, and Kamakura periods, including the National Treasure No. 1 Miroku Bosatsu statue. You can also see the Koyo statue of Prince Shotoku and the Twelve Divine Generals that appear in textbooks.

",no,Japanese,view review
Freeze Kiwii,2023-01-09 18:31:15,5,0," Beautiful, quiet, old temple, not crowded or is it during the winter or not? So people all over the house. There is a museum inside. You have to pay separately. We didn't get to visit because it seems like the staff didn't pay much attention so we didn't know that we had to buy a separate ticket. But the garden is very big and beautiful. It's more than worth it.

",yes,Thai,view review
hiro sek,2023-01-21 05:00:08,5,0," Not only Maitreya Bodhisattva but all Buddha statues are wonderful! ""I might have been looking at it for nearly an hour."" I lost track of time.
Is it a pond with the character of the heart? ""It looked like a heart.""

",yes,Japanese,view review
チェチョシ,2023-01-22 14:27:37,5,0," You should definitely worship Maitreya Bodhisattva half-legged pensive statue.
I feel like my heart is cleansed.
All Buddha statues are solemn, beautiful and sublime.

",no,Japanese,view review
御名方建,2023-02-14 08:34:16,5,0," Visited after a long time.
Passing through the splendid Niomon gate as usual, the large auditorium was covered with a sheet that was being repaired, but the main hall was there, as if to preserve its dignity.
In the past, I have visited temple treasures such as the statue of Hanka Pensive, but this time I did not receive the seal of Prince Shotoku, so I decided to visit.
Is it a plaque or a dedication to worship at the main hall? There is a votive tablet with a five-pointed star in it,
On this trip, I visited places related to Seimei, but I didn't know that I could meet a five-pointed star here...
There must be some kind of connection, and I felt a connection~

",yes,Japanese,view review
bakachopper,2023-02-14 23:11:53,5,0," All the Buddha statues, including Maitreya Bodhisattva, are so old that my senses have become numb. There are many! If you like Buddhist statues, I recommend you to go once.

",no,Japanese,view review
田邊あきら,2023-02-19 06:06:06,4,0," Photography inside the building is prohibited.

The oldest Buddha statue is worth seeing🈶.

The exhibition room is dimly lit for protection.

Be careful of the traffic volume in front of the temple

",yes,Japanese,view review
遊夏川,2023-02-21 08:34:27,5,0," The first National Treasure Maitreya Bodhisattva statue, I feel infinity between my fingers. beautiful.
A beauty that can only be felt by those who visit.

",no,Japanese,view review
Reki Goto,2023-02-25 22:09:27,5,0,Many national-treasure-class Budda statues. Worth to visit,no,,view review
yamaishi yoshi,2023-03-17 23:09:53,1,0," dark. Is this a haunted house? The position of the half-legged pensive statue is too far. do you have to go that far? Is this an admission fee of 800 yen? expensive! . An attendant like a surveillance of ○○○. The impression I had when I visited when I was young has disappeared. disappointed.

",no,Japanese,view review
yukio kuriyama,2023-03-18 04:50:06,3,0," I visited here about 40 years ago. At that time, I saw Maitreya Bodhisattva up close and was moved by its splendor. Unfortunately, this time, Maitreya Bodhisattva was away as the principal image, and I was not as impressed as last time.

",no,Japanese,view review
suiko,2023-03-27 09:38:00,4,1," The oldest temple in Yamashiro Province. It is located right next to Randen Uzumasa Koryuji Station.
It is a temple of the Shingon sect, and the principal object of worship is Prince Shotoku. Viewing is possible from 9:00.
It costs 800 yen to see the Reihoden, but there are many national treasures, including the statue of Miroku Bodhisattva. Unfortunately, the inside of the hall was dim, and I could not see the Buddha's expression well. I guess it can't be helped to protect cultural assets, but the Buddha at Rokuharamitsuji was much easier to see.
Goshuin can be registered at the reception desk.

",yes,Japanese,view review
長岡明潤,2023-03-28 15:02:20,5,0," I visited the National Treasure No. 1 statue of Maitreya Bodhisattva in a half-legged position. At the Reihoden, everyone was fascinated by the national treasures holding their breath. Namo Amitabha Buddha

",yes,Japanese,view review
ELECOM (通りすがりのひと),2023-03-29 07:55:33,1,0," When I visited the temple with my children and passed through Sanjo-dori from the parking lot side, there were almost no parked or intruding vehicles, but there was a shout from afar telling me to walk along the edge. None, the child was startled by the yelling.
A toll booth through? Looking at the person smoking cigarettes in the box ,,,
Walking in the parking lot is a problem, but smoking in a place for customers...
I thought it would be nice to stop being an attendant and make it a coin parking.

",no,Japanese,view review
宅見肇,2023-04-01 05:32:57,5,5," End of March 2023
Koryu-ji is the oldest temple in Kyoto, built in the era of Emperor Suiko (603). One of the Seven Great Temples built by Prince Shotoku, along with Horyuji and Hokiji in Nara. Even in the event of a fire, the Buddha statues remained unburned, and many Buddha statues designated as national treasures are enshrined in the innermost Reihoden hall and auditorium.

On my last visit, I went to the Reihokan, and I thought how beautiful Maitreya Bodhisattva was, so I firmly put it in my eyes, so today I will return on the free course.

2020/10/23
Visited for the first time. I pass through the magnificent gate. You can get a pamphlet at the reception. I can't see the ""small"" character😢
Tell me the entrance to go to Reihoden and enter.
This is also amazing, there are a lot of Buddha statues, it will be irresistible for Buddhist statues 👌
While saying I'm sorry in front of me, I quickly head for the bright exit.
It was only a short time, but you guided me to the bright and right path.
Thank you very much🙇

",yes,Japanese,view review
はしだくまお,2023-04-07 06:54:50,5,0," Buddha statues standing in a very solemn atmosphere. A wonderful space that is very relaxing. No matter where you visit the temples of Kyoto, you will be healed.
The sculptural beauty of Senju Kannon was more wonderful than I imagined.

",yes,Japanese,view review
daijyu Nishikawa,2023-04-08 19:30:58,4,0," It is impressive to see the famous statue of Hankushii in person. However, I was able to see it really close before, but when I went to see it, it was quite a distance, which is a pity.
Also, a small plastic amulet imitating the statue was supposed to be for sale but was missing. Maybe it's because the entrance fee and ordinary amulets are enough to earn enough money, but it's a little lonely. Is it good or bad to have no business mind...

",no,Japanese,view review
平山剛,2023-04-09 14:21:42,5,0," I went there because I wanted to join hands with the national treasure No. 1 Maitreya Bodhisattva and the Twelve Divine Generals.
It's a little far from Kyoto Station, but it's a wonderful temple.
I took a bus from Kyoto Station, but it was within the range of the one-day ticket, so it was a good deal for the distance I rode.

",yes,Japanese,view review
ぽん,2023-04-11 02:54:09,5,0," It is the oldest temple in Kyoto and enshrines Miroku Bodhisattva, designated as the first National Treasure.
It takes less than 10 minutes on foot from Uzumasa Station.
As you walk along the road, you will suddenly see a splendid Romon gate and Nio statues.

Except for the ""Shinreihoden,"" where national treasures are stored, visitors can freely visit the shrine for free, so it was the cherry blossom season, and people who seemed to be locals also came to see the garden in the precincts.

After purchasing an admission ticket for Shinreihoden, you will find many large and small national treasure Buddha statues lined up in the dark inside.
(※ Gradually, your eyes will get used to it, but it's really dark, probably because of the protection of cultural properties, and the place where the explanation is placed is hidden behind a fence, so it's hard to see, and it's far and small, so it's not suitable for people with poor eyesight or the elderly. If you have glasses or a bit of binoculars, it might be easier to see...)

The statue of Maitreya Bodhisattva is enshrined in the center.
I've seen it in textbooks, but the real thing is different from the photo, and has a really mysterious aura.
There are tatami mats in front of you, so you can sit and enjoy the view. In addition, in front of the statue of Maitreya Bodhisattva, there is also an amulet that you can purchase yourself.

",yes,Japanese,view review
長野勝幸,2023-04-26 07:56:24,5,0," It was impressive that the azaleas were blooming beautifully. It was nice to be able to appreciate the Buddha statues slowly with few people.

",yes,Japanese,view review
Blueapple S,2023-05-16 16:42:59,5,0," The scenery of the precincts in the rain is beautiful. Especially the cries of the pond.

",yes,Korean,view review
TR K,2023-05-22 01:51:28,5,0," I came to see Maitreya Bodhisattva
There is a movie village and a Christian (Keikyo) Shinto shrine nearby.

",yes,Japanese,view review
HedgeHodge “HodgePodge”,2023-05-23 05:12:51,4,0,"Large Buddhist temple complex.
",yes,,view review
はっちょ,2023-05-24 13:51:30,5,2," When I visited on a weekday afternoon, there were about 5 customers in the Reihoden. Everyone faced the Buddha statue and appreciated it carefully. The lighting inside the Reihoden seemed to be quite dim, but after a while after entering the building, my eyes got used to it, and I felt that the Buddha statues were actually floating in the air.

Among the three large Buddha statues enshrined opposite the Maitreya Bodhisattva statue in Reihoden, after a while facing the seated statue of Thousand Armed Kannon in the middle, I felt a great warmth gradually pouring into me. rice field. There is an absolute generosity that will forgive no matter what happens, and I think that is motherhood itself. I had never cried when I saw a Buddha statue, but since there weren't many other customers, I had them face each other slowly while wiping away their tears. Some of my arms were lost along the way, but the whole feeling, including the missing arms, was gentle, beautiful, and had a big presence. bottom. Just remembering it brings warm tears to my eyes.

In addition, the statue of Fukukensaku Kannon to the left of the seated statue of Thousand-armed Kannon has not only the beauty of its supple body, but also its eyes are in the distant flow of time. I felt like I was looking into immeasurable distance.

I was overwhelmed by the magnificence of these two statues. It was an unforgettable and wonderful experience.

By the way, the state of the precincts was not nice. The trees were poorly maintained, with many dead branches at the tips of the cherry trees and dead leaves all over the pine trees. Some areas near the auditorium under renovation were grassy.
Also, it seems that there is no official website. Although Koryu-ji has many wonderful Buddhist statues that can be said to be national treasures, it is a pity that the awareness and ability to attract customers is much lower than that of Kiyomizu-dera and Kinkaku-ji. It's a waste. By all means, I would like you to make it exciting so that many people can see the wonderful Buddha statues.

",no,Japanese,view review
